province,forecast_horizon,lookback,accuracy,precision,recall,f1,roc_auc
An_Giang,1,15,0.6946564885496184,0.6623376623376623,0.7846153846153846,0.7183098591549296,0.6934731934731935
An_Giang,1,10,0.648854961832061,0.6172839506172839,0.7692307692307693,0.684931506849315,0.6836829836829837
An_Giang,1,30,0.6106870229007634,0.5795454545454546,0.7846153846153846,0.6666666666666666,0.677855477855478
An_Giang,1,7,0.6106870229007634,0.5897435897435898,0.7076923076923077,0.6433566433566433,0.6585081585081585
An_Giang,1,5,0.6106870229007634,0.6029411764705882,0.6307692307692307,0.6165413533834586,0.6585081585081585
An_Giang,1,3,0.5648854961832062,0.5571428571428572,0.6,0.5777777777777777,0.6498834498834499
Bac_Ninh,1,10,0.7709923664122137,0.8,0.9166666666666666,0.8543689320388349,0.7223214285714286
Bac_Ninh,1,7,0.7633587786259542,0.7927927927927928,0.9166666666666666,0.8502415458937198,0.706845238095238
Bac_Ninh,1,5,0.7633587786259542,0.7981651376146789,0.90625,0.848780487804878,0.694047619047619
Bac_Ninh,1,3,0.7480916030534351,0.8,0.875,0.835820895522388,0.6898809523809524
Bac_Ninh,1,30,0.7404580152671756,0.7870370370370371,0.8854166666666666,0.8333333333333334,0.6577380952380952
Bac_Ninh,1,15,0.732824427480916,0.7798165137614679,0.8854166666666666,0.8292682926829268,0.6860119047619048
Ca_Mau,1,30,0.6946564885496184,0.7592592592592593,0.8541666666666666,0.803921568627451,0.5136904761904763
Ca_Mau,1,15,0.6412213740458015,0.7425742574257426,0.78125,0.7614213197969543,0.5848214285714286
Ca_Mau,1,10,0.6183206106870229,0.7395833333333334,0.7395833333333334,0.7395833333333334,0.5366071428571428
Ca_Mau,1,3,0.6030534351145038,0.7391304347826086,0.7083333333333334,0.723404255319149,0.5925595238095238
Ca_Mau,1,5,0.5877862595419847,0.723404255319149,0.7083333333333334,0.7157894736842105,0.5895833333333333
Ca_Mau,1,7,0.5725190839694656,0.7222222222222222,0.6770833333333334,0.6989247311827957,0.5520833333333334
Can_Tho,1,30,0.5267175572519084,0.5882352941176471,0.6493506493506493,0.6172839506172839,0.5141895141895141
Can_Tho,1,15,0.4961832061068702,0.5679012345679012,0.5974025974025974,0.5822784810126582,0.518999518999519
Can_Tho,1,5,0.5343511450381679,0.625,0.5194805194805194,0.5673758865248227,0.5418470418470418
Can_Tho,1,7,0.5114503816793893,0.5942028985507246,0.5324675324675324,0.5616438356164384,0.5555555555555556
Can_Tho,1,3,0.4732824427480916,0.5588235294117647,0.4935064935064935,0.5241379310344828,0.5139490139490139
Can_Tho,1,10,0.45038167938931295,0.5352112676056338,0.4935064935064935,0.5135135135135135,0.4862914862914863
Cao_Bang,1,3,0.7175572519083969,0.7575757575757576,0.8522727272727273,0.8021390374331551,0.6271141649048626
Cao_Bang,1,30,0.6870229007633588,0.7373737373737373,0.8295454545454546,0.7807486631016043,0.6273784355179705
Cao_Bang,1,15,0.6793893129770993,0.7346938775510204,0.8181818181818182,0.7741935483870968,0.5724101479915433
Cao_Bang,1,7,0.6717557251908397,0.7272727272727273,0.8181818181818182,0.7700534759358288,0.5671247357293869
