province,forecast_horizon,lookback,accuracy,precision,recall,f1,roc_auc
An_Giang,3,7,0.6511627906976745,0.6282051282051282,0.7538461538461538,0.6853146853146853,0.6959134615384615
An_Giang,3,10,0.6434108527131783,0.6266666666666667,0.7230769230769231,0.6714285714285714,0.6944711538461539
An_Giang,3,15,0.5813953488372093,0.5647058823529412,0.7384615384615385,0.64,0.6629807692307692
An_Giang,3,30,0.5736434108527132,0.5595238095238095,0.7230769230769231,0.6308724832214765,0.6305288461538462
An_Giang,3,5,0.5813953488372093,0.5733333333333334,0.6615384615384615,0.6142857142857143,0.6451923076923076
An_Giang,3,3,0.5891472868217055,0.5882352941176471,0.6153846153846154,0.6015037593984962,0.6524038461538462
Bac_Ninh,3,10,0.7131782945736435,0.7543859649122807,0.9052631578947369,0.8229665071770335,0.5891640866873065
Bac_Ninh,3,7,0.7054263565891473,0.7522123893805309,0.8947368421052632,0.8173076923076923,0.5727554179566563
Bac_Ninh,3,15,0.6976744186046512,0.7592592592592593,0.8631578947368421,0.8078817733990148,0.6241486068111455
Bac_Ninh,3,3,0.689922480620155,0.7522935779816514,0.8631578947368421,0.803921568627451,0.565015479876161
Bac_Ninh,3,5,0.6666666666666666,0.7321428571428571,0.8631578947368421,0.7922705314009661,0.5473684210526316
Bac_Ninh,3,30,0.6589147286821705,0.7339449541284404,0.8421052631578947,0.7843137254901961,0.5080495356037151
Ca_Mau,3,30,0.6744186046511628,0.7407407407407407,0.851063829787234,0.7920792079207921,0.5765957446808511
Ca_Mau,3,15,0.6666666666666666,0.7475728155339806,0.8191489361702128,0.7817258883248731,0.5869300911854103
Ca_Mau,3,10,0.6434108527131783,0.7307692307692307,0.8085106382978723,0.7676767676767676,0.5224924012158055
Ca_Mau,3,7,0.6124031007751938,0.7244897959183674,0.7553191489361702,0.7395833333333334,0.5212765957446808
Ca_Mau,3,3,0.5736434108527132,0.7349397590361446,0.648936170212766,0.6892655367231638,0.535258358662614
Ca_Mau,3,5,0.5503875968992248,0.7142857142857143,0.6382978723404256,0.6741573033707865,0.5231003039513678
Can_Tho,3,30,0.5581395348837209,0.6043956043956044,0.7236842105263158,0.6586826347305389,0.5364945382323734
Can_Tho,3,15,0.5503875968992248,0.618421052631579,0.618421052631579,0.618421052631579,0.5573485600794439
Can_Tho,3,3,0.5581395348837209,0.6461538461538462,0.5526315789473685,0.5957446808510638,0.5503972194637538
Can_Tho,3,10,0.5038759689922481,0.581081081081081,0.5657894736842105,0.5733333333333334,0.5461767626613704
Can_Tho,3,7,0.43410852713178294,0.5211267605633803,0.4868421052631579,0.5034013605442177,0.5076961271102284
Can_Tho,3,5,0.4883720930232558,0.5961538461538461,0.40789473684210525,0.484375,0.5357497517378351
Cao_Bang,3,30,0.6046511627906976,0.6576576576576577,0.8488372093023255,0.7411167512690355,0.5270416441319632
