province,lookback,accuracy,precision,recall,f1,roc_auc
An_Giang,3,0.6124031007751938,0.9411764705882353,0.24615384615384617,0.3902439024390244,0.6704326923076922
An_Giang,5,0.627906976744186,0.9473684210526315,0.27692307692307694,0.42857142857142855,0.6781250000000001
An_Giang,7,0.627906976744186,0.9047619047619048,0.2923076923076923,0.4418604651162791,0.6838942307692308
An_Giang,10,0.6356589147286822,0.8461538461538461,0.3384615384615385,0.4835164835164835,0.686778846153846
An_Giang,15,0.6046511627906976,0.7692307692307693,0.3076923076923077,0.43956043956043955,0.6814903846153846
An_Giang,30,0.6124031007751938,0.6923076923076923,0.4153846153846154,0.5192307692307693,0.6055288461538462
Bac_Ninh,3,0.4806201550387597,0.7413793103448276,0.45263157894736844,0.5620915032679739,0.5411764705882353
Bac_Ninh,5,0.5116279069767442,0.7666666666666667,0.4842105263157895,0.5935483870967742,0.5226006191950464
Bac_Ninh,7,0.5271317829457365,0.765625,0.5157894736842106,0.6163522012578616,0.513312693498452
Bac_Ninh,10,0.5271317829457365,0.75,0.5368421052631579,0.6257668711656442,0.5287925696594428
Bac_Ninh,15,0.49612403100775193,0.7419354838709677,0.4842105263157895,0.5859872611464968,0.5247678018575851
Bac_Ninh,30,0.5658914728682171,0.7746478873239436,0.5789473684210527,0.6626506024096386,0.5705882352941176
Can_Tho,3,0.49612403100775193,0.8666666666666667,0.17105263157894737,0.2857142857142857,0.5156405163853028
Can_Tho,5,0.4806201550387597,0.9090909090909091,0.13157894736842105,0.22988505747126436,0.5168818272095332
Can_Tho,7,0.49612403100775193,0.9230769230769231,0.15789473684210525,0.2696629213483146,0.48833167825223434
Can_Tho,10,0.4883720930232558,0.9166666666666666,0.14473684210526316,0.25,0.47095332671300894
Can_Tho,15,0.5193798449612403,0.8888888888888888,0.21052631578947367,0.3404255319148936,0.4756703078450844
Can_Tho,30,0.49612403100775193,0.7619047619047619,0.21052631578947367,0.32989690721649484,0.47318768619662355
Cao_Bang,3,0.4806201550387597,0.6727272727272727,0.43023255813953487,0.524822695035461,0.5024337479718767
Cao_Bang,5,0.46511627906976744,0.6545454545454545,0.4186046511627907,0.5106382978723404,0.46430502974580856
Cao_Bang,7,0.4573643410852713,0.6481481481481481,0.4069767441860465,0.5,0.4656571119524068
Cao_Bang,10,0.4263565891472868,0.6111111111111112,0.38372093023255816,0.4714285714285714,0.4305029745808545
Cao_Bang,15,0.4496124031007752,0.6415094339622641,0.3953488372093023,0.4892086330935252,0.43996755002704163
Cao_Bang,30,0.43410852713178294,0.6140350877192983,0.4069767441860465,0.48951048951048953,0.4899945916711736
Ca_Mau,3,0.4186046511627907,1.0,0.20212765957446807,0.336283185840708,0.49544072948328266
Ca_Mau,5,0.40310077519379844,1.0,0.18085106382978725,0.3063063063063063,0.4790273556231003
Ca_Mau,7,0.37209302325581395,0.8823529411764706,0.1595744680851064,0.2702702702702703,0.4714285714285714
Ca_Mau,10,0.3875968992248062,0.8260869565217391,0.20212765957446807,0.3247863247863248,0.46717325227963524
Ca_Mau,15,0.4108527131782946,0.8214285714285714,0.24468085106382978,0.3770491803278688,0.4917933130699088
Ca_Mau,30,0.4263565891472868,0.75,0.3191489361702128,0.44776119402985076,0.4726443768996961
Dak_Lak,3,0.6124031007751938,0.6666666666666666,0.14814814814814814,0.24242424242424243,0.6434567901234568
Dak_Lak,5,0.627906976744186,0.6875,0.2037037037037037,0.3142857142857143,0.6637037037037037
Dak_Lak,7,0.6124031007751938,0.6666666666666666,0.14814814814814814,0.24242424242424243,0.6609876543209877
Dak_Lak,10,0.5891472868217055,0.5333333333333333,0.14814814814814814,0.2318840579710145,0.6437037037037037
Dak_Lak,15,0.5813953488372093,0.5,0.07407407407407407,0.12903225806451613,0.6474074074074075
Dak_Lak,30,0.627906976744186,0.75,0.16666666666666666,0.2727272727272727,0.5718518518518518
Da_Nang,3,0.5891472868217055,0.6976744186046512,0.42857142857142855,0.5309734513274337,0.6869249394673124
Da_Nang,5,0.5658914728682171,0.675,0.38571428571428573,0.4909090909090909,0.6818401937046005
Da_Nang,7,0.5736434108527132,0.7272727272727273,0.34285714285714286,0.46601941747572817,0.7019370460048426
Da_Nang,10,0.5426356589147286,0.7037037037037037,0.2714285714285714,0.3917525773195876,0.6508474576271187
Da_Nang,15,0.5271317829457365,0.8,0.17142857142857143,0.2823529411764706,0.6888619854721549
Da_Nang,30,0.5038759689922481,0.65,0.18571428571428572,0.28888888888888886,0.5958837772397094
Dien_Bien,3,0.6201550387596899,0.7272727272727273,0.375,0.4948453608247423,0.6317307692307692
Dien_Bien,5,0.6511627906976745,0.7435897435897436,0.453125,0.5631067961165048,0.6161057692307692
Dien_Bien,7,0.6511627906976745,0.7317073170731707,0.46875,0.5714285714285714,0.6060096153846153
Dien_Bien,10,0.6434108527131783,0.7368421052631579,0.4375,0.5490196078431373,0.6052884615384615
Dien_Bien,15,0.6046511627906976,0.6511627906976745,0.4375,0.5233644859813084,0.6067307692307693
Dien_Bien,30,0.6124031007751938,0.6521739130434783,0.46875,0.5454545454545454,0.6134615384615384
Dong_Nai,3,0.5813953488372093,0.7857142857142857,0.1774193548387097,0.2894736842105263,0.7026961964371691
Dong_Nai,5,0.5503875968992248,0.7,0.11290322580645161,0.19444444444444445,0.6754935002407317
Dong_Nai,7,0.5581395348837209,0.7777777777777778,0.11290322580645161,0.19718309859154928,0.6646605681271064
Dong_Nai,10,0.5426356589147286,0.7142857142857143,0.08064516129032258,0.14492753623188406,0.6504573904670197
Dong_Nai,15,0.5503875968992248,0.8333333333333334,0.08064516129032258,0.14705882352941177,0.6367356764564276
Dong_Nai,30,0.5968992248062015,0.7272727272727273,0.25806451612903225,0.38095238095238093,0.5974963890226288
Dong_Thap,3,0.5116279069767442,0.8571428571428571,0.1643835616438356,0.27586206896551724,0.5579745596868885
Dong_Thap,5,0.5116279069767442,0.8571428571428571,0.1643835616438356,0.27586206896551724,0.5692270058708415
Dong_Thap,7,0.5426356589147286,1.0,0.1917808219178082,0.3218390804597701,0.5589530332681018
Dong_Thap,10,0.5193798449612403,1.0,0.1506849315068493,0.2619047619047619,0.5846379647749511
Dong_Thap,15,0.5426356589147286,1.0,0.1917808219178082,0.3218390804597701,0.5821917808219178
Dong_Thap,30,0.5348837209302325,0.782608695652174,0.2465753424657534,0.375,0.4804305283757338
Gia_Lai,3,0.751937984496124,0.7586206896551724,0.46808510638297873,0.5789473684210527,0.8134405812143228
Gia_Lai,5,0.7286821705426356,0.7307692307692307,0.40425531914893614,0.5205479452054794,0.8074727555786196
Gia_Lai,7,0.7364341085271318,0.7407407407407407,0.425531914893617,0.5405405405405406,0.8310845874416191
Gia_Lai,10,0.751937984496124,0.7777777777777778,0.44680851063829785,0.5675675675675675,0.8453554748313441
Gia_Lai,15,0.751937984496124,0.7419354838709677,0.48936170212765956,0.5897435897435898,0.8487285936689155
Gia_Lai,30,0.7596899224806202,0.7352941176470589,0.5319148936170213,0.6172839506172839,0.8248572911261028
Hai_Phong,3,0.46511627906976744,0.6296296296296297,0.40963855421686746,0.49635036496350365,0.5115243583027763
Hai_Phong,5,0.4418604651162791,0.6037735849056604,0.3855421686746988,0.47058823529411764,0.49869041382922996
Hai_Phong,7,0.4806201550387597,0.6428571428571429,0.43373493975903615,0.5179856115107914,0.4926663174436879
Hai_Phong,10,0.46511627906976744,0.6346153846153846,0.39759036144578314,0.4888888888888889,0.49738082765845987
Hai_Phong,15,0.4496124031007752,0.6153846153846154,0.3855421686746988,0.4740740740740741,0.4858564693556836
Hai_Phong,30,0.46511627906976744,0.6346153846153846,0.39759036144578314,0.4888888888888889,0.49869041382922996
Ha_Noi,3,0.4883720930232558,0.7377049180327869,0.47368421052631576,0.5769230769230769,0.5015479876160991
Ha_Noi,5,0.5116279069767442,0.75,0.5052631578947369,0.6037735849056604,0.4907120743034056
Ha_Noi,7,0.5116279069767442,0.7352941176470589,0.5263157894736842,0.6134969325153374,0.5015479876160991
Ha_Noi,10,0.5038759689922481,0.7246376811594203,0.5263157894736842,0.6097560975609756,0.4854489164086688
Ha_Noi,15,0.5193798449612403,0.7323943661971831,0.5473684210526316,0.6265060240963856,0.47554179566563465
