province,forecast_horizon,lookback,accuracy,precision,recall,f1,roc_auc
Da_Nang,7,10,0.552,0.7777777777777778,0.21212121212121213,0.3333333333333333,0.6240369799691834
Da_Nang,7,15,0.52,0.6666666666666666,0.18181818181818182,0.2857142857142857,0.6042629686697483
Da_Nang,7,30,0.456,0.42857142857142855,0.09090909090909091,0.15,0.45711350796096556
Dak_Lak,7,7,0.632,0.6923076923076923,0.17647058823529413,0.28125,0.6184419713831479
Dak_Lak,7,3,0.624,0.6428571428571429,0.17647058823529413,0.27692307692307694,0.6112877583465819
Dak_Lak,7,5,0.624,0.6428571428571429,0.17647058823529413,0.27692307692307694,0.6343402225755167
Dak_Lak,7,10,0.64,0.8,0.1568627450980392,0.26229508196721313,0.6030736618971912
Dak_Lak,7,15,0.632,0.7272727272727273,0.1568627450980392,0.25806451612903225,0.5556438791732909
Dak_Lak,7,30,0.608,0.5714285714285714,0.1568627450980392,0.24615384615384617,0.46846846846846846
Dien_Bien,7,3,0.6,0.6585365853658537,0.42857142857142855,0.5192307692307693,0.6041986687147978
Dien_Bien,7,30,0.608,0.6842105263157895,0.4126984126984127,0.5148514851485149,0.6164874551971326
Dien_Bien,7,5,0.6,0.6666666666666666,0.4126984126984127,0.5098039215686274,0.5962621607782899
Dien_Bien,7,15,0.608,0.6944444444444444,0.3968253968253968,0.5050505050505051,0.615463389656938
Dien_Bien,7,10,0.584,0.6410256410256411,0.3968253968253968,0.49019607843137253,0.5960061443932411
Dien_Bien,7,7,0.6,0.6857142857142857,0.38095238095238093,0.4897959183673469,0.5906298003072196
Dong_Nai,7,30,0.56,0.5769230769230769,0.2542372881355932,0.35294117647058826,0.5403184386235234
Dong_Nai,7,5,0.592,0.9,0.15254237288135594,0.2608695652173913,0.6173600410888546
Dong_Nai,7,15,0.528,0.5,0.13559322033898305,0.21333333333333335,0.5770416024653313
Dong_Nai,7,7,0.568,0.7777777777777778,0.11864406779661017,0.20588235294117646,0.6083718541345661
Dong_Nai,7,3,0.56,0.7,0.11864406779661017,0.2028985507246377,0.6409861325115563
Dong_Nai,7,10,0.56,0.75,0.1016949152542373,0.1791044776119403,0.6034925526450949
Dong_Thap,7,30,0.52,0.6764705882352942,0.3194444444444444,0.4339622641509434,0.4620020964360587
Dong_Thap,7,15,0.576,0.9523809523809523,0.2777777777777778,0.43010752688172044,0.5757337526205452
Dong_Thap,7,3,0.528,1.0,0.18055555555555555,0.3058823529411765,0.6263102725366876
Dong_Thap,7,7,0.528,1.0,0.18055555555555555,0.3058823529411765,0.6153039832285117
Dong_Thap,7,10,0.528,1.0,0.18055555555555555,0.3058823529411765,0.5720649895178196
Dong_Thap,7,5,0.52,0.9285714285714286,0.18055555555555555,0.3023255813953488,0.6103249475890985
Gia_Lai,7,30,0.76,0.7428571428571429,0.5531914893617021,0.6341463414634146,0.7711402073104201
Gia_Lai,7,15,0.76,0.7741935483870968,0.5106382978723404,0.6153846153846154,0.8139661756683034
Gia_Lai,7,10,0.768,0.8214285714285714,0.48936170212765956,0.6133333333333333,0.8142389525368248
Gia_Lai,7,7,0.736,0.7916666666666666,0.40425531914893614,0.5352112676056338,0.8218767048554282
Gia_Lai,7,5,0.712,0.7391304347826086,0.3617021276595745,0.4857142857142857,0.8101472995090016
Gia_Lai,7,3,0.704,0.7272727272727273,0.3404255319148936,0.463768115942029,0.7986906710310966
Ha_Noi,7,30,0.44,0.7115384615384616,0.40217391304347827,0.5138888888888888,0.44631093544137024
Ha_Noi,7,15,0.368,0.6326530612244898,0.33695652173913043,0.4397163120567376,0.38405797101449274
Ha_Noi,7,10,0.352,0.6078431372549019,0.33695652173913043,0.43356643356643354,0.3745059288537549
Ha_Noi,7,5,0.36,0.625,0.32608695652173914,0.42857142857142855,0.37318840579710144
Ha_Noi,7,3,0.36,0.6304347826086957,0.31521739130434784,0.42028985507246375,0.3840579710144928
Ha_Noi,7,7,0.344,0.6041666666666666,0.31521739130434784,0.4142857142857143,0.37812911725955206
Ha_Tinh,7,3,0.464,0.48314606741573035,0.671875,0.5620915032679739,0.42648565573770497
Ha_Tinh,7,10,0.504,0.5192307692307693,0.421875,0.46551724137931033,0.4879610655737705
Ha_Tinh,7,15,0.496,0.5102040816326531,0.390625,0.4424778761061947,0.48539959016393436
Ha_Tinh,7,5,0.424,0.4375,0.4375,0.4375,0.3862704918032786
Ha_Tinh,7,7,0.432,0.43636363636363634,0.375,0.40336134453781514,0.4098360655737705
Ha_Tinh,7,30,0.432,0.4186046511627907,0.28125,0.3364485981308411,0.43570696721311475
Hai_Phong,7,30,0.44,0.6304347826086957,0.35365853658536583,0.453125,0.5127623369256948
Hai_Phong,7,3,0.416,0.5957446808510638,0.34146341463414637,0.43410852713178294,0.43647192285876346
Hai_Phong,7,15,0.416,0.5957446808510638,0.34146341463414637,0.43410852713178294,0.46171298922291554
Hai_Phong,7,7,0.416,0.6,0.32926829268292684,0.4251968503937008,0.43902439024390244
Hai_Phong,7,10,0.4,0.574468085106383,0.32926829268292684,0.4186046511627907,0.446114577424844
Hai_Phong,7,5,0.392,0.5652173913043478,0.3170731707317073,0.40625,0.41917186613726604
Ho_Chi_Minh,7,30,0.536,0.7142857142857143,0.22388059701492538,0.3409090909090909,0.5069480185280495
Ho_Chi_Minh,7,15,0.52,0.7333333333333333,0.16417910447761194,0.2682926829268293,0.6019042717447247
Ho_Chi_Minh,7,3,0.504,0.8571428571428571,0.08955223880597014,0.16216216216216217,0.6428203808543489
Ho_Chi_Minh,7,5,0.504,0.8571428571428571,0.08955223880597014,0.16216216216216217,0.6353576942871848
Ho_Chi_Minh,7,10,0.488,0.7142857142857143,0.07462686567164178,0.13513513513513514,0.623520329387545
Ho_Chi_Minh,7,7,0.48,0.75,0.04477611940298507,0.08450704225352113,0.6353576942871848
Hue,7,3,0.512,0.47368421052631576,0.15,0.22784810126582278,0.57
Hue,7,7,0.504,0.4444444444444444,0.13333333333333333,0.20512820512820512,0.47769230769230764
Hue,7,5,0.496,0.42105263157894735,0.13333333333333333,0.20253164556962025,0.5058974358974359
Hue,7,10,0.512,0.4666666666666667,0.11666666666666667,0.18666666666666668,0.48128205128205126
Hue,7,15,0.48,0.35294117647058826,0.1,0.15584415584415584,0.4425641025641026
Hue,7,30,0.48,0.3333333333333333,0.08333333333333333,0.13333333333333333,0.4079487179487179
Hung_Yen,7,30,0.472,0.7777777777777778,0.38461538461538464,0.5147058823529411,0.5258564964447318
Hung_Yen,7,15,0.416,0.7045454545454546,0.34065934065934067,0.45925925925925926,0.440530058177117
Hung_Yen,7,10,0.376,0.6382978723404256,0.32967032967032966,0.43478260869565216,0.3749191984486102
Hung_Yen,7,7,0.344,0.6046511627906976,0.2857142857142857,0.3880597014925373,0.3684550743374273
Hung_Yen,7,3,0.336,0.5909090909090909,0.2857142857142857,0.3851851851851852,0.34873949579831937
Hung_Yen,7,5,0.336,0.5909090909090909,0.2857142857142857,0.3851851851851852,0.3293471234647705
Khanh_Hoa,7,30,0.56,0.6428571428571429,0.15254237288135594,0.2465753424657534,0.485105290190036
Khanh_Hoa,7,15,0.544,0.5833333333333334,0.11864406779661017,0.19718309859154928,0.5726759116589625
Khanh_Hoa,7,3,0.576,1.0,0.1016949152542373,0.18461538461538463,0.6168464304057524
Khanh_Hoa,7,5,0.56,0.75,0.1016949152542373,0.1791044776119403,0.5765279917822291
Khanh_Hoa,7,10,0.544,0.6666666666666666,0.06779661016949153,0.12307692307692308,0.5498202362609143
Khanh_Hoa,7,7,0.544,0.75,0.05084745762711865,0.09523809523809523,0.5600924499229584
Lai_Chau,7,30,0.504,0.7115384615384616,0.44047619047619047,0.5441176470588235,0.5693960511033682
Lai_Chau,7,3,0.528,0.7906976744186046,0.40476190476190477,0.5354330708661418,0.5609756097560976
Lai_Chau,7,5,0.528,0.8048780487804879,0.39285714285714285,0.528,0.542102206736353
Lai_Chau,7,15,0.52,0.7857142857142857,0.39285714285714285,0.5238095238095238,0.5792682926829268
Lai_Chau,7,7,0.504,0.75,0.39285714285714285,0.515625,0.5342624854819976
Lai_Chau,7,10,0.496,0.7560975609756098,0.36904761904761907,0.496,0.5360046457607432
Lam_Dong,7,15,0.656,0.8205128205128205,0.47058823529411764,0.5981308411214953,0.7229102167182663
Lam_Dong,7,30,0.624,0.7333333333333333,0.4852941176470588,0.584070796460177,0.6764705882352942
Lam_Dong,7,7,0.6,0.7647058823529411,0.38235294117647056,0.5098039215686274,0.686016511867905
Lam_Dong,7,10,0.608,0.8064516129032258,0.36764705882352944,0.5050505050505051,0.7247162022703819
Lam_Dong,7,5,0.592,0.7741935483870968,0.35294117647058826,0.48484848484848486,0.6821465428276574
Lam_Dong,7,3,0.568,0.7333333333333333,0.3235294117647059,0.4489795918367347,0.6731166150670794
Lang_Son,7,3,0.448,0.5892857142857143,0.4177215189873418,0.4888888888888889,0.39378095762245463
Lang_Son,7,5,0.432,0.5714285714285714,0.4050632911392405,0.4740740740740741,0.3946064942212438
Lang_Son,7,7,0.432,0.5740740740740741,0.3924050632911392,0.46616541353383456,0.3910291689598239
Lang_Son,7,10,0.424,0.5686274509803921,0.3670886075949367,0.4461538461538462,0.37589433131535493
Lang_Son,7,30,0.408,0.5490196078431373,0.35443037974683544,0.4307692307692308,0.40671436433681896
Lang_Son,7,15,0.4,0.5384615384615384,0.35443037974683544,0.42748091603053434,0.3775454045129334
Lao_Cai,7,30,0.568,0.7464788732394366,0.5955056179775281,0.6625,0.5324594257178527
Lao_Cai,7,3,0.504,0.6901408450704225,0.550561797752809,0.6125,0.4160424469413233
Lao_Cai,7,10,0.48,0.6666666666666666,0.5393258426966292,0.5962732919254659,0.3526841448189763
Lao_Cai,7,7,0.464,0.6571428571428571,0.5168539325842697,0.5786163522012578,0.37172284644194753
Lao_Cai,7,5,0.472,0.676923076923077,0.4943820224719101,0.5714285714285714,0.36735330836454433
Lao_Cai,7,15,0.464,0.671875,0.48314606741573035,0.5620915032679739,0.448501872659176
Nghe_An,7,3,0.44,0.46774193548387094,0.4393939393939394,0.453125,0.4142270159219312
Nghe_An,7,5,0.408,0.43333333333333335,0.3939393939393939,0.4126984126984127,0.3777606574216743
Nghe_An,7,7,0.44,0.45652173913043476,0.3181818181818182,0.375,0.3882896764252697
Nghe_An,7,10,0.448,0.46153846153846156,0.2727272727272727,0.34285714285714286,0.46635850025680536
Nghe_An,7,15,0.44,0.4473684210526316,0.25757575757575757,0.3269230769230769,0.4247560349255264
Nghe_An,7,30,0.448,0.45454545454545453,0.22727272727272727,0.30303030303030304,0.44709809964047253
Ninh_Binh,7,15,0.424,0.6904761904761905,0.32954545454545453,0.4461538461538462,0.45024570024570026
Ninh_Binh,7,30,0.4,0.6444444444444445,0.32954545454545453,0.43609022556390975,0.4929361179361179
Ninh_Binh,7,5,0.376,0.6190476190476191,0.29545454545454547,0.4,0.3378378378378379
Ninh_Binh,7,10,0.344,0.575,0.26136363636363635,0.359375,0.38882063882063883
Ninh_Binh,7,3,0.32,0.5365853658536586,0.25,0.34108527131782945,0.34244471744471744
Ninh_Binh,7,7,0.336,0.5714285714285714,0.22727272727272727,0.3252032520325203,0.37929975429975427
Phu_Tho,7,30,0.52,0.6363636363636364,0.4666666666666667,0.5384615384615384,0.5352
Phu_Tho,7,15,0.432,0.5416666666666666,0.3466666666666667,0.42276422764227645,0.44453333333333334
Phu_Tho,7,5,0.408,0.5098039215686274,0.3466666666666667,0.4126984126984127,0.42879999999999996
Phu_Tho,7,7,0.408,0.5098039215686274,0.3466666666666667,0.4126984126984127,0.4088
Phu_Tho,7,10,0.392,0.49019607843137253,0.3333333333333333,0.3968253968253968,0.4189333333333333
Phu_Tho,7,3,0.384,0.4782608695652174,0.29333333333333333,0.36363636363636365,0.41119999999999995
Quang_Ngai,7,3,0.552,0.7058823529411765,0.19047619047619047,0.3,0.6653865847414234
Quang_Ngai,7,30,0.456,0.391304347826087,0.14285714285714285,0.20930232558139536,0.4728622631848438
Quang_Ngai,7,10,0.512,0.5833333333333334,0.1111111111111111,0.18666666666666668,0.5655401945724526
Quang_Ngai,7,7,0.504,0.5454545454545454,0.09523809523809523,0.16216216216216217,0.5578597030209933
Quang_Ngai,7,5,0.488,0.46153846153846156,0.09523809523809523,0.15789473684210525,0.5988223246287763
Quang_Ngai,7,15,0.448,0.3333333333333333,0.09523809523809523,0.14814814814814814,0.5453149001536097
Quang_Ninh,7,15,0.464,0.6304347826086957,0.3670886075949367,0.464,0.47826086956521746
Quang_Ninh,7,3,0.456,0.6170212765957447,0.3670886075949367,0.4603174603174603,0.47358282883874514
Quang_Ninh,7,10,0.448,0.6041666666666666,0.3670886075949367,0.4566929133858268,0.4680792515134838
Quang_Ninh,7,30,0.448,0.625,0.31645569620253167,0.42016806722689076,0.5376995046780407
Quang_Ninh,7,5,0.424,0.5777777777777777,0.3291139240506329,0.41935483870967744,0.45734727572922396
Quang_Ninh,7,7,0.4,0.5476190476190477,0.2911392405063291,0.38016528925619836,0.4700055035773253
Quang_Tri,7,3,0.56,0.75,0.26865671641791045,0.3956043956043956,0.6132269686052496
Quang_Tri,7,30,0.48,0.5454545454545454,0.1791044776119403,0.2696629213483146,0.44698919197117853
Quang_Tri,7,5,0.512,0.6875,0.16417910447761194,0.26506024096385544,0.536026762738034
Quang_Tri,7,15,0.48,0.5714285714285714,0.11940298507462686,0.19753086419753085,0.511322696860525
Quang_Tri,7,7,0.472,0.5384615384615384,0.1044776119402985,0.175,0.4971693257848688
Quang_Tri,7,10,0.488,0.6666666666666666,0.08955223880597014,0.15789473684210525,0.5144107050952136
Son_La,7,15,0.568,0.7555555555555555,0.44155844155844154,0.5573770491803278,0.5938852813852813
Son_La,7,10,0.544,0.7083333333333334,0.44155844155844154,0.544,0.5189393939393939
Son_La,7,30,0.544,0.7083333333333334,0.44155844155844154,0.544,0.6174242424242423
Son_La,7,3,0.536,0.7111111111111111,0.4155844155844156,0.5245901639344263,0.5657467532467532
Son_La,7,5,0.52,0.6976744186046512,0.38961038961038963,0.5,0.548430735930736
Son_La,7,7,0.52,0.6976744186046512,0.38961038961038963,0.5,0.5562770562770563
Tay_Ninh,7,30,0.616,0.65625,0.3620689655172414,0.4666666666666667,0.5723108594956253
Tay_Ninh,7,15,0.6,0.7,0.2413793103448276,0.358974358974359,0.6101389603705609
Tay_Ninh,7,3,0.6,0.75,0.20689655172413793,0.32432432432432434,0.6296963458569224
Tay_Ninh,7,5,0.584,0.75,0.15517241379310345,0.2571428571428571,0.6199176531137417
Tay_Ninh,7,7,0.576,0.6923076923076923,0.15517241379310345,0.2535211267605634,0.614770972722594
Tay_Ninh,7,10,0.576,0.6923076923076923,0.15517241379310345,0.2535211267605634,0.614770972722594
Thai_Nguyen,7,30,0.592,0.75,0.6593406593406593,0.7017543859649122,0.502262443438914
Thai_Nguyen,7,15,0.496,0.7058823529411765,0.5274725274725275,0.6037735849056604,0.42727860374919197
Thai_Nguyen,7,7,0.488,0.7076923076923077,0.5054945054945055,0.5897435897435898,0.41855203619909503
Thai_Nguyen,7,10,0.48,0.696969696969697,0.5054945054945055,0.5859872611464968,0.42210730446024564
Thai_Nguyen,7,5,0.488,0.7142857142857143,0.4945054945054945,0.5844155844155844,0.39980607627666453
Thai_Nguyen,7,3,0.456,0.7017543859649122,0.43956043956043955,0.5405405405405406,0.39786683904330966
Thanh_Hoa,7,30,0.44,0.6285714285714286,0.27848101265822783,0.38596491228070173,0.511282333516786
Thanh_Hoa,7,15,0.448,0.6666666666666666,0.25316455696202533,0.3669724770642202,0.5255916345624656
Thanh_Hoa,7,3,0.392,0.5405405405405406,0.25316455696202533,0.3448275862068966,0.4452394056136489
Thanh_Hoa,7,10,0.408,0.6,0.189873417721519,0.28846153846153844,0.5173362685745735
Thanh_Hoa,7,7,0.408,0.6086956521739131,0.17721518987341772,0.27450980392156865,0.4760594386351128
Thanh_Hoa,7,5,0.368,0.5,0.1518987341772152,0.23300970873786409,0.46367638965327457
Tuyen_Quang,7,30,0.592,0.7647058823529411,0.5977011494252874,0.6709677419354839,0.5707803992740472
Tuyen_Quang,7,10,0.44,0.639344262295082,0.4482758620689655,0.527027027027027,0.43405928614640055
Tuyen_Quang,7,5,0.448,0.6551724137931034,0.4367816091954023,0.5241379310344828,0.44615849969751964
Tuyen_Quang,7,7,0.432,0.6379310344827587,0.42528735632183906,0.5103448275862069,0.4398064125831821
Tuyen_Quang,7,15,0.416,0.625,0.40229885057471265,0.48951048951048953,0.49727767695099817
Tuyen_Quang,7,3,0.424,0.6470588235294118,0.3793103448275862,0.4782608695652174,0.4198427102238355
Vinh_Long,7,15,0.552,0.7222222222222222,0.203125,0.3170731707317073,0.46285860655737704
Vinh_Long,7,5,0.576,0.9230769230769231,0.1875,0.3116883116883117,0.477202868852459
Vinh_Long,7,3,0.568,0.9166666666666666,0.171875,0.2894736842105263,0.5527663934426229
Vinh_Long,7,10,0.552,0.7857142857142857,0.171875,0.28205128205128205,0.4482581967213115
Vinh_Long,7,30,0.456,0.42857142857142855,0.1875,0.2608695652173913,0.38601434426229503
Vinh_Long,7,7,0.544,0.8181818181818182,0.140625,0.24,0.46055327868852464
