province,forecast_horizon,lookback,accuracy,precision,recall,f1,roc_auc
An_Giang,1,15,0.6946564885496184,0.6582278481012658,0.8,0.7222222222222222,0.7153846153846153
An_Giang,1,30,0.6412213740458015,0.6022727272727273,0.8153846153846154,0.6928104575163399,0.6848484848484848
An_Giang,1,7,0.6564885496183206,0.6388888888888888,0.7076923076923077,0.6715328467153284,0.6736596736596737
An_Giang,1,10,0.6412213740458015,0.6153846153846154,0.7384615384615385,0.6713286713286714,0.7076923076923077
An_Giang,1,3,0.6183206106870229,0.6056338028169014,0.6615384615384615,0.6323529411764706,0.6496503496503496
An_Giang,1,5,0.6030534351145038,0.5942028985507246,0.6307692307692307,0.6119402985074627,0.6825174825174826
Bac_Ninh,1,15,0.7786259541984732,0.8018018018018018,0.9270833333333334,0.8599033816425121,0.7354166666666667
Bac_Ninh,1,5,0.7557251908396947,0.7857142857142857,0.9166666666666666,0.8461538461538461,0.6806547619047619
Bac_Ninh,1,7,0.7557251908396947,0.7857142857142857,0.9166666666666666,0.8461538461538461,0.6964285714285715
Bac_Ninh,1,10,0.7557251908396947,0.7909090909090909,0.90625,0.8446601941747572,0.6961309523809525
Bac_Ninh,1,3,0.732824427480916,0.7798165137614679,0.8854166666666666,0.8292682926829268,0.68125
Bac_Ninh,1,30,0.7175572519083969,0.7757009345794392,0.8645833333333334,0.8177339901477833,0.63125
Ca_Mau,1,30,0.6946564885496184,0.7592592592592593,0.8541666666666666,0.803921568627451,0.5440476190476191
Ca_Mau,1,10,0.6412213740458015,0.7425742574257426,0.78125,0.7614213197969543,0.5407738095238095
Ca_Mau,1,15,0.6335877862595419,0.7352941176470589,0.78125,0.7575757575757576,0.5875
Ca_Mau,1,5,0.6412213740458015,0.7578947368421053,0.75,0.7539267015706806,0.5880952380952381
Ca_Mau,1,7,0.6030534351145038,0.7444444444444445,0.6979166666666666,0.7204301075268817,0.5752976190476191
Ca_Mau,1,3,0.5877862595419847,0.71875,0.71875,0.71875,0.587202380952381
Can_Tho,1,30,0.5801526717557252,0.6122448979591837,0.7792207792207793,0.6857142857142857,0.5747955747955749
Can_Tho,1,15,0.5114503816793893,0.5730337078651685,0.6623376623376623,0.6144578313253012,0.5615680615680616
Can_Tho,1,7,0.5419847328244275,0.6133333333333333,0.5974025974025974,0.6052631578947368,0.5456950456950457
Can_Tho,1,5,0.5343511450381679,0.6111111111111112,0.5714285714285714,0.5906040268456376,0.5303030303030304
Can_Tho,1,10,0.48091603053435117,0.5569620253164557,0.5714285714285714,0.5641025641025641,0.5093795093795094
Can_Tho,1,3,0.48091603053435117,0.5633802816901409,0.5194805194805194,0.5405405405405406,0.5036075036075036
Cao_Bang,1,3,0.7099236641221374,0.75,0.8522727272727273,0.7978723404255319,0.6300211416490487
Cao_Bang,1,5,0.6870229007633588,0.7373737373737373,0.8295454545454546,0.7807486631016043,0.592494714587738
Cao_Bang,1,7,0.6717557251908397,0.7227722772277227,0.8295454545454546,0.7724867724867724,0.5565539112050739
Cao_Bang,1,30,0.6717557251908397,0.7272727272727273,0.8181818181818182,0.7700534759358288,0.5988372093023255
Cao_Bang,1,10,0.6564885496183206,0.7128712871287128,0.8181818181818182,0.7619047619047619,0.5687103594080338
Cao_Bang,1,15,0.6641221374045801,0.7291666666666666,0.7954545454545454,0.7608695652173914,0.5599894291754757
Da_Nang,1,30,0.6412213740458015,0.6213592233009708,0.8888888888888888,0.7314285714285714,0.6626647834274952
Da_Nang,1,10,0.5725190839694656,0.5677966101694916,0.9305555555555556,0.7052631578947368,0.626647834274953
Da_Nang,1,15,0.5725190839694656,0.5701754385964912,0.9027777777777778,0.6989247311827957,0.5908662900188324
Da_Nang,1,7,0.5572519083969466,0.559322033898305,0.9166666666666666,0.6947368421052632,0.643361581920904
Da_Nang,1,5,0.549618320610687,0.5565217391304348,0.8888888888888888,0.6844919786096256,0.5774482109227872
Da_Nang,1,3,0.5648854961832062,0.5700934579439252,0.8472222222222222,0.6815642458100558,0.6075800376647834
Dak_Lak,1,30,0.6259541984732825,0.5428571428571428,0.6909090909090909,0.608,0.6267942583732058
Dak_Lak,1,15,0.6335877862595419,0.5522388059701493,0.6727272727272727,0.6065573770491803,0.6839712918660287
Dak_Lak,1,10,0.6030534351145038,0.5238095238095238,0.6,0.559322033898305,0.6334928229665071
Dak_Lak,1,5,0.5572519083969466,0.4727272727272727,0.4727272727272727,0.4727272727272727,0.5471291866028708
Dak_Lak,1,7,0.5572519083969466,0.47058823529411764,0.43636363636363634,0.4528301886792453,0.5808612440191386
Dak_Lak,1,3,0.549618320610687,0.46153846153846156,0.43636363636363634,0.4485981308411215,0.5641148325358851
Dien_Bien,1,3,0.6641221374045801,0.72,0.5454545454545454,0.6206896551724138,0.7114219114219114
Dien_Bien,1,10,0.6335877862595419,0.6551724137931034,0.5757575757575758,0.6129032258064516,0.7046620046620047
