province,forecast_horizon,lookback,accuracy,precision,recall,f1,roc_auc
Dak_Lak,7,5,0.616,0.5306122448979592,0.5098039215686274,0.52,0.6711711711711712
Dak_Lak,7,30,0.56,0.46551724137931033,0.5294117647058824,0.4954128440366973,0.5257021727609963
Dak_Lak,7,3,0.624,0.5555555555555556,0.39215686274509803,0.45977011494252873,0.6605723370429253
Dien_Bien,7,15,0.64,0.7045454545454546,0.49206349206349204,0.5794392523364486,0.662826420890937
Dien_Bien,7,30,0.648,0.7714285714285715,0.42857142857142855,0.5510204081632653,0.652073732718894
Dien_Bien,7,10,0.6,0.6382978723404256,0.47619047619047616,0.5454545454545454,0.6231438812083973
Dien_Bien,7,7,0.592,0.6304347826086957,0.4603174603174603,0.5321100917431193,0.5842293906810035
Dien_Bien,7,5,0.576,0.6190476190476191,0.4126984126984127,0.49523809523809526,0.560931899641577
Dien_Bien,7,3,0.576,0.625,0.3968253968253968,0.4854368932038835,0.5560675883256528
Dong_Nai,7,5,0.72,0.7608695652173914,0.5932203389830508,0.6666666666666666,0.7244478685156652
Dong_Nai,7,7,0.704,0.72,0.6101694915254238,0.6605504587155964,0.7282999486389317
Dong_Nai,7,10,0.688,0.7,0.5932203389830508,0.6422018348623854,0.7249614791987673
Dong_Nai,7,3,0.664,0.6976744186046512,0.5084745762711864,0.5882352941176471,0.7241910631741142
Dong_Nai,7,15,0.64,0.6521739130434783,0.5084745762711864,0.5714285714285714,0.66512583461736
Dong_Nai,7,30,0.592,0.5833333333333334,0.4745762711864407,0.5233644859813084,0.6158192090395479
Dong_Thap,7,7,0.584,0.6923076923076923,0.5,0.5806451612903226,0.6336477987421385
Dong_Thap,7,3,0.576,0.6862745098039216,0.4861111111111111,0.5691056910569106,0.6153039832285115
Dong_Thap,7,5,0.552,0.6481481481481481,0.4861111111111111,0.5555555555555556,0.5888364779874214
Dong_Thap,7,15,0.544,0.6415094339622641,0.4722222222222222,0.544,0.5998427672955975
Dong_Thap,7,10,0.544,0.6470588235294118,0.4583333333333333,0.5365853658536586,0.6098008385744236
Dong_Thap,7,30,0.512,0.6170212765957447,0.4027777777777778,0.48739495798319327,0.5186058700209644
Gia_Lai,7,15,0.792,0.723404255319149,0.723404255319149,0.723404255319149,0.8216039279869067
Gia_Lai,7,5,0.792,0.7692307692307693,0.6382978723404256,0.6976744186046512,0.7588652482269502
Gia_Lai,7,30,0.792,0.8,0.5957446808510638,0.6829268292682927,0.8096017457719586
Gia_Lai,7,10,0.776,0.7317073170731707,0.6382978723404256,0.6818181818181818,0.8486088379705401
Gia_Lai,7,7,0.76,0.7297297297297297,0.574468085106383,0.6428571428571429,0.8082378614293508
Gia_Lai,7,3,0.736,0.75,0.44680851063829785,0.56,0.7386797599563557
Ha_Noi,7,30,0.584,0.7272727272727273,0.6956521739130435,0.7111111111111111,0.4654150197628458
Ha_Noi,7,10,0.56,0.7176470588235294,0.6630434782608695,0.6892655367231638,0.47266139657444
Ha_Noi,7,15,0.552,0.7093023255813954,0.6630434782608695,0.6853932584269663,0.4650856389986825
Ha_Noi,7,5,0.536,0.7125,0.6195652173913043,0.6627906976744186,0.4193017127799737
Ha_Noi,7,7,0.504,0.6973684210526315,0.5760869565217391,0.6309523809523809,0.4314888010540185
Ha_Noi,7,3,0.488,0.6944444444444444,0.5434782608695652,0.6097560975609756,0.4272068511198946
Ha_Tinh,7,3,0.48,0.49523809523809526,0.8125,0.6153846153846154,0.4541495901639344
Ha_Tinh,7,15,0.44,0.4716981132075472,0.78125,0.5882352941176471,0.4175204918032787
Ha_Tinh,7,7,0.424,0.46,0.71875,0.5609756097560976,0.36782786885245905
Ha_Tinh,7,30,0.424,0.46,0.71875,0.5609756097560976,0.40061475409836067
Ha_Tinh,7,10,0.424,0.45918367346938777,0.703125,0.5555555555555556,0.41649590163934425
Ha_Tinh,7,5,0.416,0.45454545454545453,0.703125,0.5521472392638037,0.42264344262295084
Hai_Phong,7,10,0.504,0.6470588235294118,0.5365853658536586,0.5866666666666667,0.5147475893363584
Hai_Phong,7,30,0.496,0.6376811594202898,0.5365853658536586,0.5827814569536424,0.5277935337492909
Hai_Phong,7,5,0.464,0.631578947368421,0.43902439024390244,0.5179856115107914,0.46937039137833236
Hai_Phong,7,15,0.456,0.6206896551724138,0.43902439024390244,0.5142857142857142,0.5062393647192286
Hai_Phong,7,7,0.44,0.6071428571428571,0.4146341463414634,0.4927536231884058,0.4622802041973908
Hai_Phong,7,3,0.416,0.5918367346938775,0.35365853658536583,0.44274809160305345,0.4489506522972207
Ho_Chi_Minh,7,7,0.656,0.7142857142857143,0.5970149253731343,0.6504065040650406,0.6901698404529079
Ho_Chi_Minh,7,10,0.648,0.7090909090909091,0.582089552238806,0.639344262295082,0.6737004632012351
Ho_Chi_Minh,7,15,0.632,0.6909090909090909,0.5671641791044776,0.6229508196721312,0.6703551209469892
Ho_Chi_Minh,7,3,0.664,0.8205128205128205,0.47761194029850745,0.6037735849056604,0.7460113226968604
Ho_Chi_Minh,7,5,0.624,0.717391304347826,0.4925373134328358,0.584070796460177,0.6981471950591869
Ho_Chi_Minh,7,30,0.576,0.6206896551724138,0.5373134328358209,0.576,0.626865671641791
Hue,7,3,0.552,0.5188679245283019,0.9166666666666666,0.6626506024096386,0.5520512820512821
Hue,7,15,0.584,0.5444444444444444,0.8166666666666667,0.6533333333333333,0.5807692307692308
Hue,7,5,0.552,0.5208333333333334,0.8333333333333334,0.6410256410256411,0.5512820512820512
Hue,7,7,0.512,0.49473684210526314,0.7833333333333333,0.6064516129032258,0.4879487179487179
Hue,7,10,0.496,0.4838709677419355,0.75,0.5882352941176471,0.48589743589743584
Hue,7,30,0.424,0.42857142857142855,0.6,0.5,0.45794871794871794
Hung_Yen,7,10,0.56,0.7307692307692307,0.6263736263736264,0.6745562130177515,0.44764059469941825
Hung_Yen,7,7,0.488,0.6753246753246753,0.5714285714285714,0.6190476190476191,0.35649644473173886
Hung_Yen,7,30,0.488,0.684931506849315,0.5494505494505495,0.6097560975609756,0.4305106658047835
Hung_Yen,7,5,0.44,0.6567164179104478,0.4835164835164835,0.5569620253164557,0.3707175177763413
Hung_Yen,7,15,0.44,0.6615384615384615,0.4725274725274725,0.5512820512820513,0.43115707821590177
Hung_Yen,7,3,0.416,0.6666666666666666,0.3956043956043956,0.496551724137931,0.4188752424046541
Khanh_Hoa,7,15,0.568,0.5342465753424658,0.6610169491525424,0.5909090909090909,0.5701078582434514
Khanh_Hoa,7,30,0.536,0.5076923076923077,0.559322033898305,0.532258064516129,0.5767847971237802
Khanh_Hoa,7,10,0.52,0.49230769230769234,0.5423728813559322,0.5161290322580645,0.5154083204930663
Khanh_Hoa,7,7,0.456,0.43478260869565216,0.5084745762711864,0.46875,0.4933230611196712
Khanh_Hoa,7,5,0.416,0.40789473684210525,0.5254237288135594,0.45925925925925926,0.4280945043656908
Khanh_Hoa,7,3,0.424,0.4084507042253521,0.4915254237288136,0.4461538461538462,0.4355418592706728
Lai_Chau,7,15,0.56,0.7636363636363637,0.5,0.60431654676259,0.5955284552845528
Lai_Chau,7,5,0.52,0.7142857142857143,0.47619047619047616,0.5714285714285714,0.5551684088269455
Lai_Chau,7,30,0.52,0.7222222222222222,0.4642857142857143,0.5652173913043478,0.5786875725900116
Lai_Chau,7,3,0.504,0.6964285714285714,0.4642857142857143,0.5571428571428572,0.5380371660859466
Lai_Chau,7,10,0.504,0.7115384615384616,0.44047619047619047,0.5441176470588235,0.5566202090592334
Lai_Chau,7,7,0.496,0.6981132075471698,0.44047619047619047,0.5401459854014599,0.5252613240418118
Lam_Dong,7,5,0.656,0.7659574468085106,0.5294117647058824,0.6260869565217392,0.6718266253869969
Lam_Dong,7,15,0.656,0.7906976744186046,0.5,0.6126126126126126,0.7045923632610939
Lam_Dong,7,7,0.632,0.7291666666666666,0.5147058823529411,0.603448275862069,0.6896284829721362
Lam_Dong,7,10,0.64,0.7674418604651163,0.4852941176470588,0.5945945945945946,0.7162022703818369
Lam_Dong,7,30,0.6,0.7142857142857143,0.4411764705882353,0.5454545454545454,0.6571207430340558
Lam_Dong,7,3,0.552,0.6666666666666666,0.35294117647058826,0.46153846153846156,0.6339009287925697
Lang_Son,7,3,0.448,0.5675675675675675,0.5316455696202531,0.5490196078431373,0.348651623555311
Lang_Son,7,5,0.392,0.5185185185185185,0.5316455696202531,0.525,0.32168409466153
Lang_Son,7,10,0.384,0.5131578947368421,0.4936708860759494,0.5032258064516129,0.32966428178315904
Lang_Son,7,7,0.368,0.5,0.46835443037974683,0.48366013071895425,0.32526141992294993
Lang_Son,7,30,0.344,0.4788732394366197,0.43037974683544306,0.4533333333333333,0.3558062740781508
Lang_Son,7,15,0.336,0.4714285714285714,0.4177215189873418,0.4429530201342282,0.317831590533847
Lao_Cai,7,30,0.664,0.7117117117117117,0.8876404494382022,0.79,0.560549313358302
Lao_Cai,7,15,0.624,0.6944444444444444,0.8426966292134831,0.7614213197969543,0.46348314606741575
