date,province,temp_max,temp_min,temp_mean,humidity,wind_speed,cloud_cover,pressure,rain
1/1/2020,Ha_Noi,23,18.5,20,88,9.2,83,1021.4,1
1/2/2020,Ha_Noi,25.5,18.5,21.2,84,15,75,1019.8,1
1/3/2020,Ha_Noi,25.1,19.5,21.5,87,16.3,82,1017.9,1
1/4/2020,Ha_Noi,24,19.2,21.2,88,18.1,77,1016,1
1/5/2020,Ha_Noi,25.8,18.7,21.5,86,18.7,80,1014.8,1
1/6/2020,Ha_Noi,26,20,22,86,23.3,67,1013.6,1
1/7/2020,Ha_Noi,27.1,20.1,22.4,87,11.7,62,1013.5,1
1/8/2020,Ha_Noi,26.8,19.9,22.7,84,17.8,82,1014,1
1/9/2020,Ha_Noi,27.2,19.6,23.1,82,15,63,1012.3,1
1/10/2020,Ha_Noi,27.4,20.5,23.4,79,19.4,61,1010.6,1
1/11/2020,Ha_Noi,27,15,20.5,83,26.3,78,1011.9,1
1/12/2020,Ha_Noi,18.8,13.1,15.6,73,15.4,90,1015.6,1
1/13/2020,Ha_Noi,21.6,15.4,18.3,80,11.3,96,1013.1,1
1/14/2020,Ha_Noi,23.9,18,20.6,88,20.6,70,1012.2,1
1/15/2020,Ha_Noi,25.3,19.2,21.8,84,26.8,51,1010.8,1
1/16/2020,Ha_Noi,25.8,15.9,20.8,85,20.5,77,1012.9,1
1/17/2020,Ha_Noi,17.4,13.5,15.6,79,16.1,100,1017.2,1
1/18/2020,Ha_Noi,19.2,14.4,16.4,86,10.5,100,1015.4,1
1/19/2020,Ha_Noi,16.1,13.4,14.8,84,17.2,100,1018,1
1/20/2020,Ha_Noi,18.9,13.8,15.9,84,8.8,100,1017.6,1
1/21/2020,Ha_Noi,24,15.1,19.4,84,19.4,68,1016.2,1
1/22/2020,Ha_Noi,25.6,18.4,21.4,87,19.2,71,1013.4,1
1/23/2020,Ha_Noi,26.2,20,22.6,86,18.9,93,1011.4,1
1/24/2020,Ha_Noi,24,20.5,22,92,21.3,95,1011.2,1
1/25/2020,Ha_Noi,20.4,12.1,16.4,88,24.8,97,1012.5,1
1/26/2020,Ha_Noi,18.4,11.8,14.5,65,16.2,60,1016,1
1/27/2020,Ha_Noi,18,10.3,14,65,17.7,36,1014.7,1
1/28/2020,Ha_Noi,17.1,11.8,14.3,63,16.8,81,1016.6,1
1/29/2020,Ha_Noi,17,11.1,13.7,68,16.7,78,1020,1
1/30/2020,Ha_Noi,19.6,9.6,14.5,67,12.2,5,1019.4,0
1/31/2020,Ha_Noi,21.3,9.4,15.6,71,17.4,44,1017.6,0
2/1/2020,Ha_Noi,18,13.2,15.6,88,8,81,1016.4,1
2/2/2020,Ha_Noi,23.9,15.9,19,88,17.4,76,1015.8,1
2/3/2020,Ha_Noi,20.6,14.4,17.7,94,20.7,96,1015.2,1
2/4/2020,Ha_Noi,16.2,13.3,14.5,88,16.2,100,1016.9,1
2/5/2020,Ha_Noi,18.2,13.6,15.5,89,11.7,100,1015.6,1
2/6/2020,Ha_Noi,22.9,16,18.4,91,7.3,85,1013.6,1
2/7/2020,Ha_Noi,20.9,17.4,19.3,96,11.2,100,1016,1
2/8/2020,Ha_Noi,18,15.2,17,86,16.5,100,1019.7,1
2/9/2020,Ha_Noi,16.9,13.1,14.8,80,17.4,100,1022.9,1
2/10/2020,Ha_Noi,20.2,14,16.6,76,12.9,96,1019,1
2/11/2020,Ha_Noi,23.5,16,19.5,86,15.6,82,1015.4,1
2/12/2020,Ha_Noi,25.2,19.1,21.3,91,15.6,96,1012.5,1
2/13/2020,Ha_Noi,25.4,20.4,22.2,93,17.4,94,1008.5,1
2/14/2020,Ha_Noi,29.3,21.1,23.8,88,17.9,67,1004.9,1
2/15/2020,Ha_Noi,29.5,19.6,24.1,82,30.2,74,1007.3,1
2/16/2020,Ha_Noi,18.1,14.5,16.2,51,25.3,82,1020.1,1
2/17/2020,Ha_Noi,19.6,13.8,16.6,46,17.2,63,1024.1,0
2/18/2020,Ha_Noi,20.1,14.8,16.6,47,11.3,53,1022.5,0
2/19/2020,Ha_Noi,20.1,12.1,16.5,70,8.2,66,1019.8,0
2/20/2020,Ha_Noi,23.2,16,19.1,86,9,89,1019.5,1
2/21/2020,Ha_Noi,24.1,16.9,20.1,84,16.1,77,1022.3,1
2/22/2020,Ha_Noi,25,14.8,19.7,81,11.3,39,1022.9,0
2/23/2020,Ha_Noi,25,14.9,19.8,80,15.3,40,1020.2,0
2/24/2020,Ha_Noi,25.2,15,20,81,14.5,54,1015.8,1
2/25/2020,Ha_Noi,25.4,17.5,21.1,83,13.5,68,1014,1
2/26/2020,Ha_Noi,26.5,17.4,21.7,81,13.8,88,1014.6,0
2/27/2020,Ha_Noi,26.2,17.4,21.5,84,15.8,91,1014.5,1
2/28/2020,Ha_Noi,27.2,19.5,22.6,81,16.8,80,1012.5,1
2/29/2020,Ha_Noi,26.6,19.5,22.8,82,16.9,69,1010.4,1
3/1/2020,Ha_Noi,27.5,21.1,23.4,87,16.1,93,1010.2,1
3/2/2020,Ha_Noi,26.3,20.8,23.2,87,22.1,69,1010.8,1
3/3/2020,Ha_Noi,25.5,21.2,22.6,91,20.6,86,1011.2,1
3/4/2020,Ha_Noi,21.1,15.7,17.8,89,26.2,98,1014.4,1
3/5/2020,Ha_Noi,18,14.6,16.1,84,11.1,90,1016,1
3/6/2020,Ha_Noi,24.3,15.9,19.3,84,13.3,74,1012.1,1
3/7/2020,Ha_Noi,27.5,17,21.6,86,12,46,1008.1,0
3/8/2020,Ha_Noi,30.4,20.3,24.4,86,11.8,57,1002.6,1
3/9/2020,Ha_Noi,31.8,20,25.1,82,9.4,11,1001.9,0
3/10/2020,Ha_Noi,23.8,20.8,22.2,64,22.7,81,1011.3,0
3/11/2020,Ha_Noi,22.5,19.2,20.6,71,10.4,94,1012.7,1
3/12/2020,Ha_Noi,28.1,20,23.2,82,17.1,72,1009.3,1
3/13/2020,Ha_Noi,28.5,22.8,24.9,87,16.4,89,1010.1,1
3/14/2020,Ha_Noi,22.1,19.2,20.5,79,17.9,100,1015.1,1
3/15/2020,Ha_Noi,21.5,18.6,20,82,8,100,1015,1
3/16/2020,Ha_Noi,25.4,19.5,22.1,87,13.2,99,1012.6,1
3/17/2020,Ha_Noi,25.3,19.5,23,93,18.7,100,1012.4,1
3/18/2020,Ha_Noi,21.2,18.2,19.7,90,17.1,100,1011.2,1
3/19/2020,Ha_Noi,20.9,19,19.8,90,15.3,100,1011.3,1
3/20/2020,Ha_Noi,25.2,19.1,21.6,84,11.9,98,1010.8,1
3/21/2020,Ha_Noi,28.2,21.1,24.1,88,15.2,84,1008.9,1
3/22/2020,Ha_Noi,28.6,22.8,25,88,15.8,77,1008.9,1
3/23/2020,Ha_Noi,28.1,22,24.7,86,14.6,77,1009.5,1
3/24/2020,Ha_Noi,27.7,21.8,24.3,87,17.9,74,1009.1,1
3/25/2020,Ha_Noi,27.7,22.3,24.3,90,20.6,77,1007.5,1
3/26/2020,Ha_Noi,29.3,23.3,25.6,86,19,69,1006.5,1
3/27/2020,Ha_Noi,31.4,23.9,26.5,85,14.3,62,1006.1,1
3/28/2020,Ha_Noi,25.6,22.5,24,89,18.2,92,1008,1
3/29/2020,Ha_Noi,28.5,21.4,24.5,88,19.3,87,1005.9,1
3/30/2020,Ha_Noi,24.4,17.5,19.9,88,21.3,100,1007.1,1
3/31/2020,Ha_Noi,21,17.9,19.2,84,17.4,100,1009.6,1
4/1/2020,Ha_Noi,23.5,17.9,20.3,84,9.7,99,1010.5,1
4/2/2020,Ha_Noi,25.4,20,22.1,94,11.6,91,1010.2,1
4/3/2020,Ha_Noi,25.5,20.4,23.2,94,16.9,96,1010.7,1
4/4/2020,Ha_Noi,20.1,17.5,19.2,91,16.4,100,1013.8,1
4/5/2020,Ha_Noi,19.9,16.6,17.9,85,18,99,1015.8,1
4/6/2020,Ha_Noi,21.4,16.2,18.3,83,13.7,84,1014,1
4/7/2020,Ha_Noi,23,16.9,19.5,80,12,87,1012.9,1
4/8/2020,Ha_Noi,24.4,18.6,21,83,9.7,84,1013.1,1
4/9/2020,Ha_Noi,26.5,19.4,22.5,81,13.3,77,1013.7,0
4/10/2020,Ha_Noi,27.8,19.1,23.6,86,15.6,77,1012.1,0
4/11/2020,Ha_Noi,28.8,22.9,25.5,86,12.5,88,1010.7,1
4/12/2020,Ha_Noi,23.5,16.8,19.2,78,26.8,85,1016.5,1
4/13/2020,Ha_Noi,18.2,14.2,16.7,78,17.7,70,1017.8,1
4/14/2020,Ha_Noi,23,13.2,18,79,13.3,44,1014.8,0
4/15/2020,Ha_Noi,25,15.1,20.3,84,16.2,68,1011.7,0
4/16/2020,Ha_Noi,27.2,20.5,23.3,88,21.7,86,1008.6,1
4/17/2020,Ha_Noi,27.9,22,24.5,89,23.5,97,1008.6,1
4/18/2020,Ha_Noi,30.9,23.1,25.8,86,19.4,87,1007.6,0
4/19/2020,Ha_Noi,29.8,23,25.8,87,14.3,73,1006.6,0
4/20/2020,Ha_Noi,30.5,23.5,26.4,87,16.2,83,1007.1,1
4/21/2020,Ha_Noi,31.5,24.1,26.8,87,19.6,82,1006.2,1
4/22/2020,Ha_Noi,25.5,21.5,23.6,91,19.9,96,1009,1
4/23/2020,Ha_Noi,20.5,18.4,19.3,86,17.8,100,1013.8,1
4/24/2020,Ha_Noi,18.2,16.3,17.1,85,16.9,99,1017.7,1
4/25/2020,Ha_Noi,22.1,16.5,18.9,81,12.4,93,1016.6,1
4/26/2020,Ha_Noi,23.6,18,20.1,77,15.8,93,1017.3,1
4/27/2020,Ha_Noi,27.2,17.7,22.2,77,14.2,56,1016,0
4/28/2020,Ha_Noi,28.8,17,23.3,76,13.5,39,1014,0
4/29/2020,Ha_Noi,28.1,18.9,23.6,81,11.5,52,1012.8,0
4/30/2020,Ha_Noi,28,20.9,24.3,83,14.5,74,1011.4,0
5/1/2020,Ha_Noi,28.4,21.5,24.8,86,14.1,69,1008.4,1
5/2/2020,Ha_Noi,30.6,23,26,85,16.8,57,1006,1
5/3/2020,Ha_Noi,31.6,23.9,27.3,85,14.6,88,1005.6,1
5/4/2020,Ha_Noi,34.5,25,28.7,83,17.6,79,1005,0
5/5/2020,Ha_Noi,34.7,25.7,29.1,82,18.4,39,1003.4,0
5/6/2020,Ha_Noi,34.4,26.4,29.7,78,16.3,65,1002.1,0
5/7/2020,Ha_Noi,35.2,26.8,30.4,78,18.4,39,1001.1,0
5/8/2020,Ha_Noi,35.8,27,30.6,78,18.7,48,1001.1,0
5/9/2020,Ha_Noi,36.2,27.3,31.3,78,17.2,57,1002.7,0
5/10/2020,Ha_Noi,35,27.6,30.6,78,17.8,65,1003.7,0
5/11/2020,Ha_Noi,33.8,26.5,29.5,80,16.9,67,1005.5,1
5/12/2020,Ha_Noi,27.4,24.6,25.8,89,15.7,95,1008.3,1
5/13/2020,Ha_Noi,29.9,24.8,27.1,87,16.7,75,1007,1
5/14/2020,Ha_Noi,32.6,25.5,27.9,84,20.9,59,1004.4,1
5/15/2020,Ha_Noi,33.8,26,29.1,82,19.4,42,1001.5,1
5/16/2020,Ha_Noi,34,26.2,29.3,81,17.9,37,1001.9,1
5/17/2020,Ha_Noi,31.4,25.3,27.8,88,15.1,72,1001.6,1
5/18/2020,Ha_Noi,32.2,25.5,28.2,84,14.3,64,1000.9,1
5/19/2020,Ha_Noi,32.3,25,28.3,85,17.1,62,1001.1,1
