date,province,temp_max,temp_min,temp_mean,humidity,wind_speed,cloud_cover,pressure,rain
2025-01-01,Ha_Noi,24.1,12.4,17.6,73,10.7,3,1015.0,0
2025-01-02,Ha_Noi,25.0,12.6,18.5,69,10.9,8,1016.1,0
2025-01-03,Ha_Noi,25.4,14.1,19.3,64,12.1,28,1017.7,0
2025-01-04,Ha_Noi,24.0,12.6,18.3,68,15.1,30,1016.5,0
2025-01-05,Ha_Noi,24.5,13.6,18.7,61,10.1,12,1018.1,0
2025-01-06,Ha_Noi,24.1,12.5,18.1,67,12.2,2,1015.6,0
2025-01-07,Ha_Noi,23.6,12.4,17.8,79,13.3,24,1014.9,0
2025-01-08,Ha_Noi,23.8,14.3,18.8,79,14.0,56,1015.7,1
2025-01-09,Ha_Noi,22.8,16.1,18.6,57,21.1,97,1019.1,0
2025-01-10,Ha_Noi,18.9,13.4,15.8,48,21.2,79,1025.5,0
2025-01-11,Ha_Noi,18.2,11.2,14.8,44,18.2,65,1028.1,0
2025-01-12,Ha_Noi,19.9,9.0,14.1,47,11.5,18,1024.3,0
2025-01-13,Ha_Noi,21.0,7.3,14.7,61,12.6,2,1019.4,0
2025-01-14,Ha_Noi,23.0,9.8,16.8,72,12.0,42,1018.7,0
2025-01-15,Ha_Noi,22.7,16.5,19.1,56,18.2,71,1022.3,1
2025-01-16,Ha_Noi,23.1,14.3,17.8,51,15.6,44,1022.4,0
2025-01-17,Ha_Noi,22.4,10.6,16.4,70,16.6,0,1018.7,0
2025-01-18,Ha_Noi,21.4,12.4,17.1,72,8.7,72,1016.5,0
2025-01-19,Ha_Noi,23.9,13.1,18.3,65,13.3,32,1014.5,0
2025-01-20,Ha_Noi,25.1,12.1,18.4,65,11.1,18,1013.1,0
2025-01-21,Ha_Noi,25.0,12.4,18.2,69,17.3,15,1012.6,0
2025-01-22,Ha_Noi,23.1,14.2,18.7,81,12.2,61,1012.9,0
2025-01-23,Ha_Noi,23.4,15.8,19.1,83,14.6,65,1012.0,1
2025-01-24,Ha_Noi,26.3,17.2,20.8,85,17.4,67,1008.3,1
2025-01-25,Ha_Noi,24.1,19.5,21.3,87,19.3,95,1010.0,1
2025-01-26,Ha_Noi,20.2,13.4,14.9,69,26.4,100,1021.4,1
2025-01-27,Ha_Noi,18.2,12.6,14.7,49,16.1,69,1021.5,1
2025-01-28,Ha_Noi,18.2,10.5,13.5,49,14.2,44,1022.4,1
2025-01-29,Ha_Noi,19.3,8.2,13.5,64,8.3,32,1020.8,0
2025-01-30,Ha_Noi,23.2,9.8,16.4,74,18.1,48,1013.6,0
2025-01-31,Ha_Noi,26.0,15.8,20.1,83,18.3,82,1010.1,1
2025-02-01,Ha_Noi,25.4,19.0,20.9,87,18.8,97,1008.4,1
2025-02-02,Ha_Noi,23.6,18.4,20.8,83,16.9,94,1009.8,1
2025-02-03,Ha_Noi,17.4,13.8,15.6,69,21.2,100,1018.1,1
2025-02-04,Ha_Noi,19.2,12.9,15.4,55,15.5,87,1019.8,0
2025-02-05,Ha_Noi,19.0,11.6,15.6,81,11.9,89,1014.6,1
2025-02-06,Ha_Noi,21.4,15.5,17.4,84,17.4,100,1013.0,1
2025-02-07,Ha_Noi,16.1,12.6,14.3,75,17.9,100,1019.3,1
2025-02-08,Ha_Noi,16.2,10.9,13.3,64,12.5,100,1022.5,1
2025-02-09,Ha_Noi,16.5,11.2,13.5,56,10.0,67,1020.9,0
2025-02-10,Ha_Noi,20.0,8.9,14.6,74,12.7,56,1017.7,0
2025-02-11,Ha_Noi,23.5,11.7,17.1,82,18.8,55,1014.3,0
2025-02-12,Ha_Noi,23.4,15.6,19.6,85,9.0,95,1014.2,1
2025-02-13,Ha_Noi,23.0,16.5,19.2,74,15.9,79,1015.3,1
2025-02-14,Ha_Noi,22.8,17.0,19.1,81,15.6,92,1012.8,1
2025-02-15,Ha_Noi,24.9,18.5,20.8,87,15.5,87,1010.4,1
2025-02-16,Ha_Noi,19.9,15.8,17.5,83,14.6,100,1014.3,1
2025-02-17,Ha_Noi,22.7,15.7,18.5,82,10.2,97,1016.3,1
2025-02-18,Ha_Noi,19.6,15.4,17.1,85,11.8,100,1017.4,1
2025-02-19,Ha_Noi,20.4,16.2,17.9,87,10.3,100,1016.3,1
2025-02-20,Ha_Noi,22.7,17.5,19.7,87,12.3,99,1016.0,1
2025-02-21,Ha_Noi,22.1,17.4,19.6,85,15.5,93,1017.2,1
2025-02-22,Ha_Noi,22.0,17.6,19.5,83,12.2,100,1017.8,1
2025-02-23,Ha_Noi,19.0,14.9,17.0,77,17.9,100,1022.1,1
2025-02-24,Ha_Noi,15.4,12.4,13.8,77,13.5,95,1025.1,1
2025-02-25,Ha_Noi,15.9,12.9,14.0,91,9.0,100,1023.1,1
2025-02-26,Ha_Noi,19.4,13.6,15.6,86,9.8,85,1020.0,1
2025-02-27,Ha_Noi,22.7,15.1,18.2,85,15.5,71,1014.7,0
2025-02-28,Ha_Noi,24.9,17.2,20.6,86,18.2,89,1011.9,1
2025-03-01,Ha_Noi,28.0,19.4,22.6,85,19.8,80,1008.4,1
2025-03-02,Ha_Noi,28.4,21.2,23.6,87,17.8,79,1006.2,1
2025-03-03,Ha_Noi,28.5,20.9,24.0,89,16.0,83,1005.3,1
2025-03-04,Ha_Noi,29.5,22.4,24.9,88,17.5,76,1004.2,1
2025-03-05,Ha_Noi,24.9,18.2,22.7,88,21.3,100,1006.9,1
2025-03-06,Ha_Noi,17.1,13.3,15.3,69,22.0,100,1017.2,1
2025-03-07,Ha_Noi,18.2,13.2,15.3,63,13.8,88,1018.9,1
2025-03-08,Ha_Noi,19.1,14.4,16.2,73,9.9,98,1017.5,0
2025-03-09,Ha_Noi,21.2,15.4,17.9,82,9.7,95,1017.6,1
2025-03-10,Ha_Noi,23.4,17.2,19.9,86,11.2,77,1016.4,1
2025-03-11,Ha_Noi,26.0,17.3,21.0,89,16.6,84,1011.8,1
2025-03-12,Ha_Noi,26.7,20.9,23.3,88,16.0,93,1008.6,1
2025-03-13,Ha_Noi,25.4,21.7,23.4,91,17.2,97,1008.0,1
2025-03-14,Ha_Noi,28.0,22.3,24.4,90,18.1,87,1008.2,1
2025-03-15,Ha_Noi,26.4,20.7,23.6,84,20.8,100,1010.4,1
2025-03-16,Ha_Noi,21.0,15.6,18.4,60,19.0,70,1017.6,1
2025-03-17,Ha_Noi,20.6,15.6,17.6,61,12.0,93,1018.0,0
2025-03-18,Ha_Noi,20.2,15.7,17.2,58,15.8,99,1021.3,0
2025-03-19,Ha_Noi,23.0,13.0,18.1,56,15.1,70,1022.7,0
2025-03-20,Ha_Noi,24.1,12.6,18.3,63,10.9,29,1021.5,0
2025-03-21,Ha_Noi,25.3,12.4,19.1,63,11.8,27,1019.4,0
2025-03-22,Ha_Noi,25.5,13.2,19.6,72,13.3,32,1016.9,0
2025-03-23,Ha_Noi,26.0,16.2,20.9,80,14.3,47,1014.3,0
2025-03-24,Ha_Noi,28.5,16.5,22.4,78,15.9,19,1010.8,0
2025-03-25,Ha_Noi,30.1,19.2,23.9,78,16.7,21,1005.5,0
2025-03-26,Ha_Noi,30.4,19.9,24.1,81,18.6,32,1002.5,0
2025-03-27,Ha_Noi,32.3,21.1,25.6,83,18.5,38,999.6,0
2025-03-28,Ha_Noi,30.6,21.0,25.5,84,15.1,53,1003.9,1
2025-03-29,Ha_Noi,24.9,14.3,17.0,79,22.3,100,1013.3,1
2025-03-30,Ha_Noi,17.7,12.6,14.9,69,17.4,100,1018.6,1
2025-03-31,Ha_Noi,18.6,13.4,15.2,63,11.3,79,1017.8,0
2025-04-01,Ha_Noi,22.2,13.9,17.9,62,8.7,55,1016.6,0
2025-04-02,Ha_Noi,25.1,13.4,19.1,73,8.4,79,1016.1,0
2025-04-03,Ha_Noi,26.5,14.3,20.2,71,15.9,24,1014.8,0
2025-04-04,Ha_Noi,25.6,16.4,21.0,82,20.1,39,1010.6,1
2025-04-05,Ha_Noi,24.4,20.0,21.8,84,9.8,100,1011.3,1
2025-04-06,Ha_Noi,26.5,20.6,22.9,83,13.0,100,1011.9,1
2025-04-07,Ha_Noi,25.6,19.6,22.1,86,12.3,89,1013.0,1
2025-04-08,Ha_Noi,27.8,19.5,23.2,88,15.2,80,1012.0,1
2025-04-09,Ha_Noi,28.9,22.1,24.8,86,18.7,96,1008.0,1
2025-04-10,Ha_Noi,29.1,22.7,24.8,87,17.9,93,1004.4,1
2025-04-11,Ha_Noi,31.7,22.5,26.0,84,16.3,78,1002.2,1
2025-04-12,Ha_Noi,33.2,21.8,26.2,74,24.8,79,1005.6,1
2025-04-13,Ha_Noi,26.4,19.0,22.3,64,14.9,60,1014.5,1
2025-04-14,Ha_Noi,25.4,18.6,21.6,71,9.5,97,1012.4,1
2025-04-15,Ha_Noi,32.0,16.9,24.1,66,13.3,76,1009.7,0
2025-04-16,Ha_Noi,30.4,18.3,24.1,69,20.5,90,1006.1,0
2025-04-17,Ha_Noi,32.2,21.9,26.2,80,18.3,60,1003.1,1
2025-04-18,Ha_Noi,32.8,22.8,27.7,79,17.6,59,1002.0,1
2025-04-19,Ha_Noi,35.8,24.6,29.5,74,18.5,41,1002.2,0
2025-04-20,Ha_Noi,34.1,25.0,28.9,77,18.6,35,1003.7,1
2025-04-21,Ha_Noi,34.5,24.9,28.7,76,20.6,39,1005.0,0
2025-04-22,Ha_Noi,35.8,25.1,29.6,77,20.1,30,1004.0,0
2025-04-23,Ha_Noi,35.5,25.0,28.3,83,16.2,81,1002.7,1
2025-04-24,Ha_Noi,32.6,24.4,28.0,82,14.9,85,1003.7,1
2025-04-25,Ha_Noi,29.1,22.8,25.6,80,14.9,91,1007.9,1
2025-04-26,Ha_Noi,29.2,23.6,26.0,86,16.0,91,1008.0,1
2025-04-27,Ha_Noi,31.5,25.2,27.5,86,14.9,86,1007.2,1
2025-04-28,Ha_Noi,28.8,23.5,25.4,88,15.3,99,1009.1,1
2025-04-29,Ha_Noi,29.6,22.6,25.7,87,14.6,87,1009.4,1
2025-04-30,Ha_Noi,30.2,23.8,26.4,87,12.2,83,1008.6,1
2025-05-01,Ha_Noi,28.2,23.5,25.4,85,11.7,91,1011.0,1
2025-05-02,Ha_Noi,31.1,22.1,26.8,79,13.6,33,1007.7,0
2025-05-03,Ha_Noi,31.5,24.5,27.3,82,15.1,70,1004.8,0
2025-05-04,Ha_Noi,33.5,25.2,28.7,83,19.6,48,1002.3,1
2025-05-05,Ha_Noi,34.6,25.5,29.6,80,17.9,28,1001.7,0
2025-05-06,Ha_Noi,32.6,26.2,29.1,82,14.9,85,1002.4,1
2025-05-07,Ha_Noi,34.5,25.8,29.7,82,16.8,83,1000.9,1
2025-05-08,Ha_Noi,35.2,27.0,30.6,79,18.6,75,999.5,1
2025-05-09,Ha_Noi,32.7,26.2,28.8,81,23.6,80,1002.7,1
2025-05-10,Ha_Noi,31.2,23.5,26.8,85,25.1,97,1006.0,1
2025-05-11,Ha_Noi,26.5,20.2,22.7,75,20.3,86,1009.8,1
2025-05-12,Ha_Noi,28.1,18.6,23.5,70,13.2,34,1008.0,0
2025-05-13,Ha_Noi,29.6,20.4,25.1,78,17.1,22,1007.1,0
2025-05-14,Ha_Noi,29.4,23.5,26.5,86,14.8,66,1007.3,1
2025-05-15,Ha_Noi,29.8,24.5,26.1,92,14.9,97,1007.3,1
2025-05-16,Ha_Noi,28.8,25.4,27.0,92,13.2,99,1005.8,1
2025-05-17,Ha_Noi,31.3,25.9,27.7,89,16.7,94,1005.7,1
2025-05-18,Ha_Noi,31.4,25.5,27.5,89,10.8,95,1005.7,1
2025-05-19,Ha_Noi,30.4,24.2,26.8,90,13.3,100,1004.5,1
2025-05-20,Ha_Noi,32.4,26.2,28.8,86,17.9,90,1002.3,1
2025-05-21,Ha_Noi,32.7,26.5,29.3,83,15.2,84,1002.5,1
2025-05-22,Ha_Noi,30.6,26.9,28.7,85,16.1,99,1001.7,1
2025-05-23,Ha_Noi,29.0,25.4,27.2,91,11.7,100,1003.0,1
2025-05-24,Ha_Noi,24.9,22.2,23.7,89,19.8,100,1008.5,1
2025-05-25,Ha_Noi,27.9,22.0,24.1,71,17.3,91,1011.6,1
2025-05-26,Ha_Noi,27.8,20.9,24.2,72,12.9,96,1011.5,0
2025-05-27,Ha_Noi,26.6,23.0,24.5,86,7.6,100,1008.8,1
2025-05-28,Ha_Noi,31.0,23.9,27.0,86,13.2,82,1005.2,1
2025-05-29,Ha_Noi,30.2,24.8,27.0,86,14.4,99,1004.8,1
2025-05-30,Ha_Noi,29.5,22.9,26.0,85,14.4,90,1004.7,1
2025-05-31,Ha_Noi,34.7,25.0,29.3,81,16.3,87,1001.1,1
2025-06-01,Ha_Noi,37.8,27.5,32.0,70,16.1,74,996.6,0
2025-06-02,Ha_Noi,37.1,28.2,32.3,66,13.7,90,996.8,1
2025-06-03,Ha_Noi,32.5,25.9,28.8,80,14.1,100,1001.4,1
2025-06-04,Ha_Noi,31.9,24.9,27.5,88,11.1,95,1004.0,1
2025-06-05,Ha_Noi,32.8,24.3,28.5,83,15.1,67,1004.4,1
2025-06-06,Ha_Noi,32.1,26.5,29.2,85,14.3,31,1003.1,1
2025-06-07,Ha_Noi,32.7,27.1,29.7,85,13.9,74,1002.0,1
2025-06-08,Ha_Noi,33.2,26.8,29.3,84,11.8,93,1001.4,1
2025-06-09,Ha_Noi,32.6,24.8,28.2,86,10.9,96,1001.6,1
2025-06-10,Ha_Noi,29.9,24.8,27.4,85,17.5,78,1002.4,1
2025-06-11,Ha_Noi,33.2,25.2,28.7,76,14.6,54,1001.7,1
2025-06-12,Ha_Noi,33.0,26.1,29.3,72,21.3,99,1000.6,1
2025-06-13,Ha_Noi,31.8,25.8,28.8,78,19.9,100,999.7,1
2025-06-14,Ha_Noi,34.7,27.4,30.3,75,13.2,91,998.8,1
2025-06-15,Ha_Noi,35.3,26.1,29.1,86,14.5,98,999.8,1
2025-06-16,Ha_Noi,32.5,25.8,28.1,86,10.6,98,1001.9,1
2025-06-17,Ha_Noi,32.3,26.3,28.8,87,14.1,100,1001.6,1
2025-06-18,Ha_Noi,34.2,27.1,30.2,77,17.9,99,1000.7,1
2025-06-19,Ha_Noi,33.3,27.6,30.3,79,15.7,100,1000.3,1
2025-06-20,Ha_Noi,32.5,26.6,29.7,81,17.5,100,1000.7,1
2025-06-21,Ha_Noi,31.8,25.4,27.7,91,11.1,100,1002.2,1
2025-06-22,Ha_Noi,30.8,24.5,27.1,90,12.6,98,1003.3,1
2025-06-23,Ha_Noi,32.8,24.4,28.6,84,14.3,93,1001.9,1
2025-06-24,Ha_Noi,32.9,25.9,28.7,85,15.7,96,1002.2,1
2025-06-25,Ha_Noi,32.5,25.1,28.6,84,12.8,60,1004.0,1
2025-06-26,Ha_Noi,33.4,25.6,29.1,83,9.0,60,1002.8,1
2025-06-27,Ha_Noi,29.8,24.5,26.5,93,13.7,100,1001.7,1
2025-06-28,Ha_Noi,30.6,24.3,26.8,90,15.6,100,1001.0,1
2025-06-29,Ha_Noi,31.9,24.3,27.2,89,15.7,100,998.8,1
2025-06-30,Ha_Noi,31.5,24.8,27.2,91,11.7,100,999.1,1
2025-07-01,Ha_Noi,31.1,24.5,27.0,88,14.3,100,1001.5,1
2025-07-02,Ha_Noi,30.3,24.7,26.7,88,14.3,97,1003.9,1
2025-07-03,Ha_Noi,28.9,24.1,26.5,90,14.8,100,1004.5,1
2025-07-04,Ha_Noi,31.4,24.6,27.5,87,7.9,94,1003.1,1
2025-07-05,Ha_Noi,33.4,24.8,29.1,79,10.9,72,1001.3,1
2025-07-06,Ha_Noi,32.7,25.6,28.6,83,13.5,90,1001.1,1
